Index,Title,Year,Genre,Director,Writer,Actors,Language,Country,Awards,IMDB rating
134,100,2019,Action,Sam Anton,Sam Anton,"Atharvaa Murali, Radha Ravi, Yogi Babu, Hansika Motwani",Tamil,India,N/A,6.6
135,Ayogya,2019,"Action, Drama",Venkat Mohan,"Venkat Mohan, Vakkantham Vamsi (story)","Vishal, Parthiban, K.S. Ravikumar, Raashi Khanna",Telugu,India,N/A,6.1
136,Mr. Local,2019,"Action, Comedy, Drama, Romance",M. Rajesh,M. Rajesh,"Sivakarthikeyan, Nayanthara, Radhika Sarathkumar, Sathish",Tamil,India,N/A,3.1
137,Natpuna Ennanu Theriyuma,2018,N/A,Sivakumar,N/A,"Kavin, Ramya Nambeeshan, Raju Jeyamohan, Arunraja Kamaraj",Tamil,India,N/A,N/A
138,Lisaa,2019,Horror,Raju Viswanath,Raju Viswanath,"Anjali, Sam Jones, Makrand Deshpande, Yogi Babu",Tamil,India,N/A,3.5
139,Neeya 2,2018,Drama,Suresh,N/A,"Jai, Raai Laxmi, Catherine Tresa",Tamil,India,N/A,N/A
140,Oviyavai Vitta Yaru,2019,N/A,Rajadurai,N/A,"Sanjeevi, Oviya, Powerstar Srinivasan, Senthil",Tamil,India,N/A,N/A
141,Owdatham,2019,N/A,Ramani,N/A,"S. Nethaji Prabhu, Samaira",Tamil,India,N/A,N/A
142,Perazhagi ISO,2019,"Comedy, Drama, Sci-Fi",C. Vijayan,N/A,"Livingston, Shilpa Manjunath, Vivek Raj, Sachu",Tamil,India,N/A,4.3
143,Rusithu Paar En Anbe,2019,N/A,Matthew Yuvani,N/A,Matthew Yuvani,Tamil,India,N/A,N/A
144,Devi 2,2018,N/A,A.L. Vijay,N/A,"Tamannaah Bhatia, Prabhu Deva, Kovai Sarala, Nandita Shwetha",Tamil,India,N/A,N/A
145,NGK,2019,"Action, Drama",K. Selvaraghavan,K. Selvaraghavan,"Suriya, Sai Pallavi, Rakul Preet Singh, Ponvannan","Tamil, Telugu",India,N/A,6
146,Kolaigaran,2019,"Action, Crime, Drama, Thriller",Andrew Louis,N/A,"Vijay Antony, Ashima Narwal, Arjun Sarja",Tamil,India,N/A,8.6
147,Game Over,2019,"Drama, Thriller",Ashwin Saravanan,"Ramkumar Kaavya, Suman Kumar (content head), Shruti Madan (hindi dialogue), Ashwin Saravanan, Kacharla Venkat (Telugu dialogue)","Taapsee Pannu, Anish Kuruvilla, Maala Parvathi, Vinodhini Vaidynathan","Tamil, Telugu","India, Turkey",2 wins.,7.1
148,Nenjamundu Nermaiyundu Odu Raja,2019,"Comedy, Drama",Karthik Venugopalan,Hp Venugopalan,"Rio Raj, Shirin Kanchwala, R.J. Vignesh, Nanjil Sampath",Tamil,India,N/A,6.3
149,Suttu Pidikka Utharavu,2018,Action,Ramprakash Rayappa,N/A,"Myshkin, Suseenthiran, Vikranth, Athulya",Tamil,India,N/A,N/A
150,Thumbaa,2019,Adventure,Harish Ram L.H.,Harish Ram L.H.,"Kpy Bala, Darshan, Dheena, Keerthi Pandian",Tamil,India,N/A,6
151,Sindhubaadh,2019,"Action, Thriller",S.U. Arun Kumar,N/A,"Vijay Sethupathi, Anjali, Linga, Vivek Prasanna",Tamil,India,N/A,5.7
152,House Owner,2018,Drama,Lakshmi Ramakrishnan,N/A,"Kishore Kumar G., Aishwarya Rajesh, Ashok Selvan",Tamil,India,N/A,N/A
153,Jiivi,2019,"Drama, Thriller",V.J. Gopinath,Babu Tamizh,"Vetri, Karunakaran, Rohini, Rama",Tamil,India,N/A,7.9
154,Darbar,2020,Action,A.R. Murugadoss,"A.R. Murugadoss (Dialogue), A.R. Murugadoss (Screenplay), A.R. Murugadoss (Story)","Rajinikanth, Nayanthara, Sunil Shetty, Yogi Babu",Tamil,India,N/A,6.3
155,Pattas,2020,Action,R.S. Durai Senthilkumar,R.S. Durai Senthilkumar,"Dhanush, Sneha, Mehreen Pirzada, Naveen Chandra",Tamil,India,N/A,N/A
156,Psycho,2020,"Crime, Thriller",Myshkin,Myshkin,"Udhayanidhi Stalin, Aditi Rao Hydari, Nithya Menon, Ram",Tamil,India,N/A,6.8
157,Kannum Kannum Kollaiyadithaal,2020,"Drama, Romance, Thriller",Desingh Periyasamy,Desingh Periyasamy,"Dulquer Salmaan, Gautham Vasudev Menon, Ritu Varma, Rakshan","Tamil, Telugu",India,N/A,7.8
158,Oh My Kadavule,2020,Comedy,Ashwath Marimuthu,N/A,"Ashok Selvan, Ritika Singh, Vani Bhojan, Vijay Sethupathi",Tamil,India,N/A,9.1
159,Naan Sirithaal,2020,"Comedy, Drama",Raana,N/A,"Hiphop Tamizha Adhi, Iswarya Menon, K.S. Ravikumar, Badava Gopi",Tamil,India,N/A,6.5
160,Mafia: Chapter 1,2020,"Action, Crime",Karthick Naren,Karthick Naren,"Arun Vijay, Prasanna, Priya Bhavani Shankar, Thalaivasal Vijay",Tamil,India,N/A,6.1
161,Draupathi,2020,Drama,"Mohan G., Stunt Mahesh",ManikandanPriya (lyricist),"Karunas, Nishanth, Richard Rishi, Sheela",Tamil,India,N/A,5.8
162,Vaanam Kottattum,2020,Drama,Dhana Sekaran,"Mani Ratnam, Dhana Sekaran","Sarath Kumar, Vikram Prabhu, Radhika Sarathkumar, Aishwarya Rajesh",Tamil,India,N/A,6.4
163,Dagaalty,2020,"Action, Comedy, Drama",Vijay Anand,Vijay Anand,"Santhanam, Rittika Sen, Yogi Babu, Radha Ravi",Tamil,India,N/A,5.1
164,Day knight,2020,Thriller,N.K.kandi,N/A,Aadarsh Pullanikat,Tamil,India,N/A,5
165,Taana,2020,"Action, Comedy, Horror",Yuvaraj Subramani,Yuvaraj Subramani,"Yogi Babu, Nandita Shwetha, Vaibhav Reddy",N/A,India,N/A,5.1
166,Naadodigal 2,2020,Drama,Samuthirakani,N/A,"M. Sasikumar, Anjali, Athulya Ravi, Bharani",Tamil,India,N/A,6.1
167,Seeru,2020,"Action, Drama","Rathina Shiva, Sami Rajalingam(co-director)",Rathina Shiva,"Jiiva, Navdeep, Riya Suman, Varun",Tamil,India,N/A,5.4
168,God Father,2020,"Action, Drama, Thriller",Jegan Rajshekar,Jegan Rajshekar,"Ananya, Ashwanth Ashokkumar, Lal, Marimuthu",Tamil,India,N/A,6.8
169,Gypsy,2020,Drama,Raju Murugan,Raju Murugan,"Jiiva, Natasha Singh, Lal Jose, Sunny Wayne",Tamil,India,N/A,7.7
170,Walter,2020,Thriller,Anbarasan,Anbarasan,"Yogi Babu, Sanam Shetty, Sibiraj",Tamil,India,N/A,N/A
171,Dharala Prabhu,2020,Comedy,Krishna Marimuthu,N/A,"Tanya Hope, Harish Kalyan",Tamil,India,N/A,7.9
